Date,Open,High,Low,Close,Adj Close,Volume
2013-09-30,89.279999,91.470001,89.190002,90.849998,77.665176,597300
2013-10-07,90.160004,91.370003,87.940002,91.370003,78.109726,548500
2013-10-14,90.879997,93.699997,90.629997,93.699997,80.10157,787600
2013-10-21,93.900002,94.519997,93.440002,94.470001,80.759834,588900
2013-10-28,94.660004,94.959999,93.150002,93.720001,80.118652,661000
2013-11-04,94.230003,94.690002,92.400002,93.849998,80.229828,568800
2013-11-11,93.489998,95.58000200000001,93.459999,95.550003,81.683113,435000
2013-11-18,95.790001,96.0,94.099998,95.940002,82.01649499999999,421200
2013-11-25,96.290001,96.989998,95.75,96.529999,82.520859,276500
2013-12-02,96.68,96.82,94.489998,96.18,82.221672,462300
2013-12-09,96.260002,96.629997,94.220001,94.849998,81.084686,559500
2013-12-16,95.269997,97.529999,94.82,97.449997,83.307358,689700
2013-12-23,97.93,98.279999,96.339996,96.980003,82.905571,709400
2013-12-30,97.120003,97.5,96.040001,96.639999,84.15361,1060200
2014-01-06,96.91999799999999,97.5,96.0,97.5,84.902519,759700
2014-01-13,97.290001,98.0,96.019997,97.480003,84.88507800000001,845000
2014-01-20,98.110001,98.360001,95.010002,95.110001,82.821297,848300
2014-01-27,95.370003,95.470001,93.620003,94.660004,82.429451,1374300
2014-02-03,94.389999,94.519997,91.150002,93.980003,81.837288,986200
2014-02-10,94.050003,96.839996,93.489998,96.790001,84.284233,842600
2014-02-17,97.0,97.739998,96.349998,97.510002,84.911201,651400
2014-02-24,97.68,99.959999,97.68,99.360001,86.52215600000001,771000
2014-03-03,98.610001,101.279999,97.959999,100.800003,87.776131,753400
2014-03-10,100.769997,100.860001,98.470001,99.18,86.36544,846500
2014-03-17,99.940002,101.839996,99.720001,100.809998,87.784821,506700
2014-03-24,101.089996,101.349998,98.25,99.0,86.208694,1348000
2014-03-31,99.57,102.610001,99.370003,100.25,87.318138,1438300
2014-04-07,99.860001,100.379997,96.779999,97.08000200000001,84.557068,942500
2014-04-14,97.989998,99.660004,96.41999799999999,99.300003,86.490685,593700
2014-04-21,99.41999799999999,100.809998,98.83000200000001,99.050003,86.27293399999999,618400
2014-04-28,99.349998,100.720001,97.650002,99.849998,86.969749,843900
2014-05-05,99.040001,100.230003,97.91999799999999,99.040001,86.264214,534600
2014-05-12,99.639999,100.989998,97.120003,98.699997,85.968071,844200
2014-05-19,98.519997,100.190002,97.879997,100.139999,87.222336,1082600
2014-05-26,100.639999,101.400002,100.5,101.129997,88.084625,586900
2014-06-02,101.239998,104.089996,100.41999799999999,103.790001,90.401482,795400
2014-06-09,103.790001,104.699997,102.66999799999999,103.269997,89.948578,791000
2014-06-16,103.209999,105.120003,102.860001,105.08000200000001,91.525101,617500
2014-06-23,105.190002,105.410004,103.32,105.18,91.61219,750600
2014-06-30,105.0,106.949997,104.690002,106.589996,92.840294,726800
2014-07-07,106.309998,106.309998,102.900002,103.879997,90.479881,568300
2014-07-14,104.989998,104.989998,102.360001,103.879997,90.479881,588200
2014-07-21,103.300003,104.349998,102.940002,103.089996,89.791779,547800
2014-07-28,103.239998,103.300003,99.559998,100.309998,87.370377,670300
2014-08-04,100.57,101.370003,99.660004,101.349998,88.276237,717900
2014-08-11,101.800003,103.41999799999999,101.16999799999999,102.75,89.495651,510000
2014-08-18,103.519997,104.93,103.290001,104.639999,91.14183,651500
2014-08-25,105.150002,105.699997,104.769997,105.589996,91.96929200000001,880200
2014-09-01,105.91999799999999,106.610001,104.949997,105.790001,92.143517,535000
2014-09-08,105.739998,106.029999,104.220001,104.489998,91.0112,539600
2014-09-15,104.550003,105.379997,103.510002,103.849998,90.453773,594800
2014-09-22,103.470001,103.58000200000001,100.25,101.239998,88.18042,829400
2014-09-29,100.25,101.18,97.470001,99.589996,86.743279,1085000
2014-10-06,99.900002,100.0,95.559998,95.599998,83.26796,1015400
2014-10-13,95.66999799999999,98.279999,93.449997,97.120003,84.591904,1687300
2014-10-20,96.879997,101.230003,96.879997,100.900002,87.884293,956400
2014-10-27,100.5,104.91999799999999,99.779999,104.58000200000001,91.0896,1110700
2014-11-03,104.860001,105.41999799999999,103.769997,105.309998,91.725418,1114800
2014-11-10,105.400002,106.16999799999999,105.050003,105.239998,91.66444399999999,735400
2014-11-17,105.129997,106.839996,104.269997,105.800003,92.152199,689900
2014-11-24,106.07,107.099998,105.730003,105.730003,92.09124,470200
2014-12-01,105.57,106.699997,104.389999,106.449997,92.71835300000001,979700
2014-12-08,106.190002,106.860001,103.050003,103.050003,89.75695,1005600
2014-12-15,103.519997,106.870003,101.5,106.599998,92.849007,1233300
2014-12-22,104.910004,106.790001,104.620003,106.519997,92.779327,768400
2014-12-29,106.730003,107.459999,104.550003,105.410004,93.429573,1336100
